Title,Power distribution unit Fennek 2017
Revision,1
Date,2017-01-06
Generated,Sat 26 May 2018 16:52:22 CEST
Company,TERA TU Graz
Comment 1,Rene Pöschl
Comment 2,
Comment 3,
Comment 4,
Total Parts,89
Total Unique Parts,46



Ref,Qty,HPN,Value,Footprint,
C1 C5 C6 C7 C8 C9 ,6,52-100n,100n,tera_rlc:C_0603in
C4 C2 ,2,51-1n00,1nf,tera_rlc:C_0603in
C3 ,1,55-820u,820u,tera_rlc:c_elec_10x10mm
D2 D12 ,2,21-9008,14V,tera_diodes:SOD128_with_vias_in_pad
D5 ,1,21-0001,BMS_crtl_blown,tera_diodes:LED_0805
D7 ,1,21-0001,BMS_pwr_blown,tera_diodes:LED_0805
D6 ,1,21-0001,HMI_blown,tera_diodes:LED_0805
D8 ,1,21-0001,Future_blown,tera_diodes:LED_0805
D3 D10 D14 D13 D11 D17 D18 D21 D22 ,9,21-1105,BAS3005B-02V,tera_diodes:BAS3005B-02V__sc79
D4 D15 D19 ,3,21-0003,K_CH1,tera_diodes:LED_0805
D9 D16 D20 ,3,21-0003,K_CH2,tera_diodes:LED_0805
D1 ,1,21-9002,58V,tera_diodes:DO-214AA_with_vias_in_pad
F3 F5 F4 F6 ,4,94-5010,0.5A 12VDC,tera_general:Fuse_0603in
F7 ,1,94-1000,1A 12VDC,tera_general:Fuse_0805_2012Metric_Pad1.15x1.50mm_HandSolder
F1 ,1,94-0101,20A 60VDC,tera_general:Fuse_holder_6.3x32mm_Schruter_0031.2520
F2 ,1,94-5100,1A 63VDC,tera_general:Fuse_1206_3216Metric_Pad1.24x1.80mm_HandSolder
IC3 IC4 IC5 ,3,24-0051,TLE8102SG,infineon:INF-PG-DSO-12-11-EP_N_EPvias
IC1 IC2 ,2,98-0013,ACS722LLCTR-20AB-T,tera_atomic_ic:ACS7xx
JP2 ,1, ,Jumper_NO_Small,tera_general:SOLDERJUMPER_2_1mm
JP1 ,1, ,SEM_source,tera_general:SOLDERJUMPER_3
JP3 ,1, ,Jumper_NO_Small,tera_general:SOLDERJUMPER_2_3mm_HV
K4 ,1, ,Panasonic_AQY414S,tera_general:SO-4
K2 K1 ,2,96-0002,TE_OJ-SH-112DM,tera_relais:RELAIS-TE-OJ
K3 ,1, ,ASSR-1218,tera_general:SO-4
P2 ,1,02-1003,Interlock,tera_Connectors_JST:JST_EH_S03B-EH_03x2.50mm_Angled
P8 ,1,02-0902,HMI_supply,tera_Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight
P9 ,1,02-0902,Future_use,tera_Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight
P5 ,1,02-1003,Reset_Interlock,tera_Connectors_JST:JST_EH_S03B-EH_03x2.50mm_Angled
P13 ,1,05-1252,SEM_telemetry_supply,tera_Connectors_JST:JST_XH_S02B-XH-A_02x2.50mm_Angled
P1 ,1,05-1103,HV_in,tera_Connectors_Phoenix:PhoenixContact_MSTBA-G_03x5.08mm_Angled
P4 ,1,05-1104,HV_Emergency_Stop_Relay,tera_Connectors_Phoenix:PhoenixContact_MSTBA-G_04x5.08mm_Angled
P6 ,1,05-1302,MCU_HV_supply,tera_Connectors_Phoenix:PhoenixContact_MSTB-GF_02x5.08mm_Angled_ThreadedFlange
P12 ,1,02-????,Main_relay_coil,tera_Connectors_JST:JST_EH_S02B-EH_02x2.50mm_Angled
P7 ,1,05-1302,Horn,tera_Connectors_JST:JST_XH_S02B-XH-A_02x2.50mm_Angled
P3 ,1, ,CONN_02X22,tera_Connectors_other:ESW-122-12-L-D
Q1 Q3 Q2 Q4 ,4,24-2253,IRLML2246TRPBF-1,tera_atomic_infineon:IRLML2246TRPBF-1
R1 R11 ,2,13-510R,510R 250mW,tera_rlc:R_1206in
R3 R7 R4 R8 ,4,11-12K0,12k,tera_rlc:R_0603in
R5 R9 R6 R10 ,4,11-100K,100k,tera_rlc:R_0603in
R22 ,1,11-1K00,1k,tera_rlc:R_0603in
R15 R16 R18 R19 R20 R21 ,6,11-12K0,12k,tera_rlc:R_0805in
R12 ,1,13-10R0,10R 500mW,tera_rlc:R_1210in
R17 ,1,11-1K00,1k,tera_rlc:R_0805in
R14 R13 ,2,14-22R0,22R 2W,tera_rlc:R_2512in
R2 ,1,17-470R,470R 5W,tera_rlc:TE_SMW-5W
U3 U2 ,2,90-1021,THD_12-4812_single_output,traco_power:THD_12-xxxx




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Sat 26 May 2018 16:52:22 CEST
